"","rcid","session","date","topic","China","France","Russia","United Kingdom","United States","consensus","veto_by","year"
"655",1809,32,1977-12-03,"Human rights",2,2,1,2,2,"postive",NA,1977
"656",1810,32,1977-12-03,"Human rights",2,3,1,3,3,"negative",NA,1977
"657",1811,32,1977-11-04,"Colonialism",1,2,1,2,2,"postive",NA,1977
"658",1812,32,1977-11-04,"Colonialism",1,1,1,1,2,"postive",NA,1977
"659",1813,32,1977-11-04,"Colonialism",1,2,1,2,2,"postive",NA,1977
"660",1814,32,1977-11-04,"Colonialism",1,2,1,2,3,"veto","United States",1977
"661",1815,32,1977-11-04,"Economic development",1,3,1,3,3,"negative",NA,1977
"662",1816,32,1977-11-04,"Colonialism",1,2,1,2,2,"postive",NA,1977
"663",1817,32,1977-12-03,"Colonialism",1,2,1,2,2,"postive",NA,1977
"664",1972,34,1979-11-01,"Human rights",1,1,3,1,1,"veto","Russia",1979
"665",1974,34,1979-11-02,"Palestinian conflict",1,2,1,3,3,"negative",NA,1979
"666",1975,34,1979-11-02,"Colonialism",2,2,1,3,3,"negative",NA,1979
"667",1975,34,1979-11-02,"Palestinian conflict",2,2,1,3,3,"negative",NA,1979
"668",1976,34,1979-12-03,"Human rights",1,2,1,3,3,"negative",NA,1979
"669",1976,34,1979-12-03,"Palestinian conflict",1,2,1,3,3,"negative",NA,1979
"670",1977,34,1979-12-03,"Human rights",1,2,1,3,3,"negative",NA,1979
"671",1977,34,1979-12-03,"Palestinian conflict",1,2,1,3,3,"negative",NA,1979
"672",1978,34,1979-12-04,"Colonialism",1,3,1,2,2,"veto","France",1979
"673",1979,34,1979-12-04,"Colonialism",1,2,1,3,3,"negative",NA,1979
"674",1979,34,1979-12-04,"Palestinian conflict",1,2,1,3,3,"negative",NA,1979
"675",1980,34,1979-12-03,"Colonialism",1,2,1,2,2,"postive",NA,1979
"676",1983,34,1979-12-03,"Colonialism",1,2,1,2,2,"postive",NA,1979
"677",1984,34,1979-12-03,"Colonialism",1,2,1,2,2,"postive",NA,1979
"678",1987,34,1979-12-03,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1979
"679",1988,34,1979-12-03,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1979
"680",1990,34,1979-12-03,"Human rights",1,3,1,3,3,"negative",NA,1979
"681",1991,34,1979-12-03,"Human rights",1,2,1,2,2,"postive",NA,1979
"682",1992,34,1979-12-03,"Human rights",1,2,1,2,2,"postive",NA,1979
"683",1993,34,1979-12-03,"Human rights",1,2,1,2,2,"postive",NA,1979
"684",1994,34,1979-12-03,"Palestinian conflict",1,3,1,3,3,"negative",NA,1979
"685",1995,34,1979-12-03,"Economic development",1,2,1,2,2,"postive",NA,1979
"686",1996,34,1979-12-01,"Human rights",1,2,1,2,2,"postive",NA,1979
"687",1997,34,1979-12-04,"Colonialism",1,3,1,3,3,"negative",NA,1979
"688",1998,34,1979-12-04,"Colonialism",1,2,1,2,1,"postive",NA,1979
"689",1999,34,1979-12-02,"Colonialism",1,3,1,3,3,"negative",NA,1979
"690",2000,34,1979-12-02,"Nuclear weapons and nuclear material",2,2,1,1,1,"postive",NA,1979
"691",2001,34,1979-12-02,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1979
"692",2001,34,1979-12-02,"Nuclear weapons and nuclear material",1,2,1,2,2,"postive",NA,1979
"693",2002,34,1979-12-02,"Arms control and disarmament",1,1,1,1,1,"postive",NA,1979
"694",2002,34,1979-12-02,"Nuclear weapons and nuclear material",1,1,1,1,1,"postive",NA,1979
"695",2002,34,1979-12-02,"Palestinian conflict",1,1,1,1,1,"postive",NA,1979
"696",2003,34,1979-12-02,"Arms control and disarmament",1,2,2,2,1,"postive",NA,1979
"697",2003,34,1979-12-02,"Nuclear weapons and nuclear material",1,2,2,2,1,"postive",NA,1979
"698",2006,34,1979-12-02,"Arms control and disarmament",1,1,2,1,2,"postive",NA,1979
"699",2008,34,1979-12-02,"Arms control and disarmament",1,3,2,3,3,"negative",NA,1979
"700",2008,34,1979-12-02,"Nuclear weapons and nuclear material",1,3,2,3,3,"negative",NA,1979
"701",2009,34,1979-12-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1979
"702",2009,34,1979-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1979
"703",2010,34,1979-12-02,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1979
"704",2010,34,1979-12-02,"Nuclear weapons and nuclear material",2,2,1,2,2,"postive",NA,1979
"705",2011,34,1979-12-02,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1979
"706",2011,34,1979-12-02,"Nuclear weapons and nuclear material",1,2,1,2,2,"postive",NA,1979
"707",2012,34,1979-12-02,"Arms control and disarmament",1,1,2,1,1,"postive",NA,1979
"708",2012,34,1979-12-02,"Nuclear weapons and nuclear material",1,1,2,1,1,"postive",NA,1979
"709",2013,34,1979-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1979
"710",2014,34,1979-12-02,"Arms control and disarmament",2,2,3,1,1,"negative",NA,1979
"711",2014,34,1979-12-02,"Nuclear weapons and nuclear material",2,2,3,1,1,"negative",NA,1979
"712",2015,34,1979-12-02,"Arms control and disarmament",1,1,3,1,1,"veto","Russia",1979
"713",2016,34,1979-12-02,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1979
"714",2016,34,1979-12-02,"Nuclear weapons and nuclear material",2,2,1,2,2,"postive",NA,1979
"715",2017,34,1979-12-02,"Nuclear weapons and nuclear material",1,2,1,2,3,"negative",NA,1979
"716",2017,34,1979-12-02,"Palestinian conflict",1,2,1,2,3,"negative",NA,1979
"717",2018,34,1979-12-05,"Colonialism",1,2,1,2,3,"veto","United States",1979
"718",2020,34,1979-12-05,"Colonialism",1,2,1,2,3,"veto","United States",1979
"719",2021,34,1979-11-03,"Palestinian conflict",1,1,1,1,1,"postive",NA,1979
"720",2022,34,1979-11-03,"Palestinian conflict",1,1,1,1,1,"postive",NA,1979
"721",2023,34,1979-11-03,"Palestinian conflict",1,1,1,1,2,"postive",NA,1979
"722",2024,34,1979-11-03,"Palestinian conflict",1,2,1,2,3,"veto","United States",1979
"723",2025,34,1979-11-03,"Palestinian conflict",1,1,1,1,2,"postive",NA,1979
"724",2026,34,1979-12-03,"Human rights",1,2,1,2,3,"negative",NA,1979
"725",2026,34,1979-12-03,"Palestinian conflict",1,2,1,2,3,"negative",NA,1979
"726",2027,34,1979-12-03,"Human rights",1,1,1,1,1,"postive",NA,1979
"727",2027,34,1979-12-03,"Palestinian conflict",1,1,1,1,1,"postive",NA,1979
"728",2028,34,1979-12-03,"Colonialism",1,1,1,1,1,"postive",NA,1979
"729",2028,34,1979-12-03,"Palestinian conflict",1,1,1,1,1,"postive",NA,1979
"730",2030,34,1979-11-02,"Economic development",1,2,2,2,2,"postive",NA,1979
"731",2031,34,1979-12-05,"Colonialism",1,2,1,2,3,"negative",NA,1979
"732",2031,34,1979-12-05,"Palestinian conflict",1,2,1,2,3,"negative",NA,1979
"733",2032,34,1979-12-05,"Palestinian conflict",1,2,1,2,3,"veto","United States",1979
"734",2033,34,1979-12-05,"Colonialism",1,2,1,2,3,"negative",NA,1979
"735",2033,34,1979-12-05,"Economic development",1,2,1,2,3,"negative",NA,1979
"736",2033,34,1979-12-05,"Palestinian conflict",1,2,1,2,3,"negative",NA,1979
"737",2036,34,1979-12-03,"Economic development",1,1,1,1,1,"postive",NA,1979
"738",2038,34,1979-12-03,"Economic development",1,2,1,2,2,"postive",NA,1979
"739",2039,34,1979-12-03,"Economic development",1,3,1,3,3,"negative",NA,1979
"740",2041,34,1979-11-02,"Economic development",1,3,1,3,2,"negative",NA,1979
"741",2042,34,1979-11-02,"Human rights",1,2,1,2,2,"postive",NA,1979
"742",2043,34,1979-11-03,"Colonialism",1,3,1,3,3,"negative",NA,1979
"743",2044,34,1979-11-03,"Human rights",1,2,1,2,3,"veto","United States",1979
"744",2045,34,1979-11-03,"Human rights",1,1,2,1,1,"postive",NA,1979
"745",2046,34,1979-11-03,"Human rights",2,1,3,1,1,"veto","Russia",1979
"746",2047,34,1979-12-01,"Colonialism",1,2,1,2,3,"negative",NA,1979
"747",2047,34,1979-12-01,"Human rights",1,2,1,2,3,"negative",NA,1979
"748",2048,34,1979-12-01,"Colonialism",1,2,1,2,3,"negative",NA,1979
"749",2048,34,1979-12-01,"Human rights",1,2,1,2,3,"negative",NA,1979
"750",2048,34,1979-12-01,"Palestinian conflict",1,2,1,2,3,"negative",NA,1979
"751",2049,34,1979-12-01,"Economic development",1,2,1,2,2,"postive",NA,1979
"752",2051,34,1979-12-01,"Human rights",2,1,1,1,1,"postive",NA,1979
"753",2052,34,1979-12-02,"Human rights",1,1,1,1,1,"postive",NA,1979
"754",2053,34,1979-11-01,"Colonialism",1,2,1,2,2,"postive",NA,1979
"755",2054,34,1979-11-01,"Colonialism",2,2,1,2,2,"postive",NA,1979
"756",2055,34,1979-11-01,"Colonialism",1,1,1,1,2,"postive",NA,1979
"757",2056,34,1979-11-01,"Colonialism",1,2,1,2,3,"veto","United States",1979
"758",2057,34,1979-11-01,"Colonialism",1,3,1,3,3,"negative",NA,1979
"759",2058,34,1979-11-01,"Colonialism",1,2,1,2,2,"postive",NA,1979
"760",2064,34,1979-12-01,"Palestinian conflict",2,1,3,1,1,"veto","Russia",1979
"761",2065,34,1979-12-01,"Palestinian conflict",2,1,3,1,1,"veto","Russia",1979
"762",2066,34,1979-12-01,"Palestinian conflict",2,1,3,1,1,"veto","Russia",1979
"763",2067,34,1979-12-01,"Palestinian conflict",2,1,3,1,1,"veto","Russia",1979
"764",2077,34,1979-12-04,"Economic development",1,2,3,3,3,"negative",NA,1979
"765",2078,34,1979-12-04,"Human rights",1,2,3,2,3,"negative",NA,1979
"766",2089,34,1979-12-01,"Colonialism",1,2,1,2,2,"postive",NA,1979
"767",2091,34,1979-12-01,"Economic development",1,3,2,3,3,"negative",NA,1979
"768",2092,34,1979-12-02,"Arms control and disarmament",2,2,3,2,2,"negative",NA,1979
"769",2092,34,1979-12-02,"Nuclear weapons and nuclear material",2,2,3,2,2,"negative",NA,1979
"770",2199,36,1981-10-07,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1981
"771",2200,36,1981-11-04,"Nuclear weapons and nuclear material",2,1,1,1,2,"postive",NA,1981
"772",2201,36,1981-11-06,"Palestinian conflict",1,2,1,2,3,"veto","United States",1981
"773",2202,36,1981-11-04,"Colonialism",1,1,3,1,1,"veto","Russia",1981
"774",2204,36,1981-12-05,"Colonialism",1,2,1,3,3,"negative",NA,1981
"775",2205,36,1981-12-05,"Colonialism",1,2,1,2,2,"postive",NA,1981
"776",2206,36,1981-12-07,"Colonialism",1,3,1,2,2,"veto","France",1981
"777",2207,36,1981-12-07,"Human rights",1,2,1,2,3,"negative",NA,1981
"778",2207,36,1981-12-07,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"779",2208,36,1981-12-07,"Human rights",1,2,1,2,3,"negative",NA,1981
"780",2208,36,1981-12-07,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"781",2209,36,1981-12-07,"Palestinian conflict",1,2,1,2,3,"veto","United States",1981
"782",2210,36,1981-12-07,"Colonialism",1,2,1,3,3,"negative",NA,1981
"783",2210,36,1981-12-07,"Palestinian conflict",1,2,1,3,3,"negative",NA,1981
"784",2211,36,1981-12-07,"Palestinian conflict",1,1,1,1,3,"veto","United States",1981
"785",2212,36,1981-12-07,"Palestinian conflict",1,3,1,3,3,"negative",NA,1981
"786",2213,36,1981-12-07,"Colonialism",1,2,1,2,2,"postive",NA,1981
"787",2214,36,1981-12-07,"Colonialism",1,2,1,2,2,"postive",NA,1981
"788",2215,36,1981-12-07,"Colonialism",1,2,1,2,2,"postive",NA,1981
"789",2223,36,1981-12-07,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1981
"790",2223,36,1981-12-07,"Palestinian conflict",1,3,1,3,3,"negative",NA,1981
"791",2227,36,1981-12-07,"Human rights",1,2,1,3,3,"negative",NA,1981
"792",2228,36,1981-12-07,"Human rights",1,1,1,2,2,"postive",NA,1981
"793",2230,36,1981-12-07,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1981
"794",2230,36,1981-12-07,"Palestinian conflict",1,3,1,3,3,"negative",NA,1981
"795",2231,36,1981-12-07,"Human rights",1,2,1,2,3,"veto","United States",1981
"796",2232,36,1981-12-07,"Economic development",1,2,1,2,3,"veto","United States",1981
"797",2233,36,1981-12-07,"Colonialism",1,3,1,3,3,"negative",NA,1981
"798",2233,36,1981-12-07,"Palestinian conflict",1,3,1,3,3,"negative",NA,1981
"799",2234,36,1981-12-07,"Colonialism",1,2,1,2,3,"negative",NA,1981
"800",2234,36,1981-12-07,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"801",2235,36,1981-12-06,"Arms control and disarmament",2,2,1,3,3,"negative",NA,1981
"802",2235,36,1981-12-06,"Nuclear weapons and nuclear material",2,2,1,3,3,"negative",NA,1981
"803",2236,36,1981-12-06,"Arms control and disarmament",1,3,1,3,3,"negative",NA,1981
"804",2236,36,1981-12-06,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1981
"805",2237,36,1981-12-06,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1981
"806",2237,36,1981-12-06,"Nuclear weapons and nuclear material",1,2,1,2,2,"postive",NA,1981
"807",2238,36,1981-12-06,"Arms control and disarmament",1,2,1,2,3,"negative",NA,1981
"808",2238,36,1981-12-06,"Nuclear weapons and nuclear material",1,2,1,2,3,"negative",NA,1981
"809",2238,36,1981-12-06,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"810",2239,36,1981-12-06,"Arms control and disarmament",1,2,2,2,1,"postive",NA,1981
"811",2239,36,1981-12-06,"Nuclear weapons and nuclear material",1,2,2,2,1,"postive",NA,1981
"812",2240,36,1981-12-06,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1981
"813",2241,36,1981-12-06,"Arms control and disarmament",1,1,1,1,2,"postive",NA,1981
"814",2242,36,1981-12-06,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1981
"815",2243,36,1981-12-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1981
"816",2244,36,1981-12-06,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1981
"817",2245,36,1981-12-06,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1981
"818",2246,36,1981-12-06,"Arms control and disarmament",1,3,1,3,3,"negative",NA,1981
"819",2246,36,1981-12-06,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1981
"820",2247,36,1981-12-06,"Arms control and disarmament",2,2,1,2,3,"negative",NA,1981
"821",2247,36,1981-12-06,"Nuclear weapons and nuclear material",2,2,1,2,3,"negative",NA,1981
"822",2248,36,1981-12-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1981
"823",2248,36,1981-12-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1981
"824",2249,36,1981-12-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1981
"825",2249,36,1981-12-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1981
"826",2250,36,1981-12-06,"Nuclear weapons and nuclear material",1,1,1,2,2,"postive",NA,1981
"827",2251,36,1981-12-06,"Arms control and disarmament",1,1,1,1,2,"postive",NA,1981
"828",2252,36,1981-12-06,"Arms control and disarmament",2,2,1,2,3,"veto","United States",1981
"829",2253,36,1981-12-06,"Arms control and disarmament",1,1,3,1,1,"veto","Russia",1981
"830",2254,36,1981-12-06,"Arms control and disarmament",1,1,2,1,1,"postive",NA,1981
"831",2255,36,1981-12-06,"Arms control and disarmament",1,1,2,1,1,"postive",NA,1981
"832",2256,36,1981-12-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1981
"833",2256,36,1981-12-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1981
"834",2257,36,1981-12-06,"Nuclear weapons and nuclear material",2,2,3,2,2,"veto","Russia",1981
"835",2258,36,1981-12-06,"Arms control and disarmament",1,1,2,1,1,"postive",NA,1981
"836",2259,36,1981-12-06,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1981
"837",2260,36,1981-12-06,"Nuclear weapons and nuclear material",1,2,1,2,3,"negative",NA,1981
"838",2260,36,1981-12-06,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"839",2261,36,1981-12-06,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1981
"840",2261,36,1981-12-06,"Nuclear weapons and nuclear material",1,2,1,2,2,"postive",NA,1981
"841",2262,36,1981-12-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1981
"842",2262,36,1981-12-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1981
"843",2263,36,1981-12-06,"Arms control and disarmament",1,1,1,2,2,"postive",NA,1981
"844",2266,36,1981-10-01,"Palestinian conflict",1,2,1,2,3,"veto","United States",1981
"845",2267,36,1981-12-06,"Palestinian conflict",1,1,1,1,3,"veto","United States",1981
"846",2268,36,1981-12-06,"Colonialism",1,2,1,2,3,"negative",NA,1981
"847",2268,36,1981-12-06,"Human rights",1,2,1,2,3,"negative",NA,1981
"848",2268,36,1981-12-06,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"849",2269,36,1981-12-06,"Palestinian conflict",1,2,1,2,3,"veto","United States",1981
"850",2270,36,1981-12-06,"Palestinian conflict",1,1,1,1,1,"postive",NA,1981
"851",2271,36,1981-12-06,"Palestinian conflict",1,2,1,2,3,"veto","United States",1981
"852",2272,36,1981-12-06,"Palestinian conflict",1,1,1,1,1,"postive",NA,1981
"853",2273,36,1981-12-06,"Colonialism",1,1,1,1,2,"postive",NA,1981
"854",2273,36,1981-12-06,"Human rights",1,1,1,1,2,"postive",NA,1981
"855",2273,36,1981-12-06,"Palestinian conflict",1,1,1,1,2,"postive",NA,1981
"856",2274,36,1981-12-06,"Colonialism",1,1,1,1,2,"postive",NA,1981
"857",2274,36,1981-12-06,"Palestinian conflict",1,1,1,1,2,"postive",NA,1981
"858",2275,36,1981-12-06,"Colonialism",1,2,1,2,3,"negative",NA,1981
"859",2275,36,1981-12-06,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"860",2276,36,1981-12-06,"Colonialism",1,1,1,1,2,"postive",NA,1981
"861",2276,36,1981-12-06,"Palestinian conflict",1,1,1,1,2,"postive",NA,1981
"862",2277,36,1981-12-06,"Colonialism",1,1,1,1,2,"postive",NA,1981
"863",2277,36,1981-12-06,"Palestinian conflict",1,1,1,1,2,"postive",NA,1981
"864",2278,36,1981-12-06,"Colonialism",1,2,1,2,3,"negative",NA,1981
"865",2278,36,1981-12-06,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"866",2279,36,1981-12-06,"Palestinian conflict",1,1,1,1,2,"postive",NA,1981
"867",2281,36,1981-12-06,"Palestinian conflict",1,1,1,1,3,"veto","United States",1981
"868",2282,36,1981-12-01,"Colonialism",1,2,1,2,3,"negative",NA,1981
"869",2282,36,1981-12-01,"Economic development",1,2,1,2,3,"negative",NA,1981
"870",2282,36,1981-12-01,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"871",2283,36,1981-12-06,"Economic development",1,2,1,2,2,"postive",NA,1981
"872",2284,36,1981-12-07,"Colonialism",1,2,1,2,3,"negative",NA,1981
"873",2284,36,1981-12-07,"Palestinian conflict",1,2,1,2,3,"negative",NA,1981
"874",2285,36,1981-12-07,"Economic development",1,1,1,1,1,"postive",NA,1981
"875",2286,36,1981-12-07,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1981
"876",2288,36,1981-12-07,"Economic development",1,1,3,1,1,"veto","Russia",1981
"877",2289,36,1981-10-01,"Nuclear weapons and nuclear material",1,3,1,3,2,"negative",NA,1981
"878",2289,36,1981-10-01,"Palestinian conflict",1,3,1,3,2,"negative",NA,1981
"879",2290,36,1981-10-01,"Human rights",1,1,1,1,3,"veto","United States",1981
"880",2291,36,1981-10-01,"Human rights",1,2,1,2,3,"veto","United States",1981
"881",2295,36,1981-11-06,"Human rights",1,1,1,1,2,"postive",NA,1981
"882",2297,36,1981-12-04,"Human rights",1,1,1,2,3,"veto","United States",1981
"883",2298,36,1981-12-06,"Human rights",2,1,3,1,1,"veto","Russia",1981
"884",2299,36,1981-12-06,"Arms control and disarmament",2,1,1,2,3,"veto","United States",1981
"885",2300,36,1981-12-06,"Human rights",2,1,1,1,3,"veto","United States",1981
"886",2302,36,1981-11-03,"Colonialism",1,2,1,2,2,"postive",NA,1981
"887",2303,36,1981-11-03,"Colonialism",1,2,1,2,3,"veto","United States",1981
"888",2304,36,1981-11-03,"Palestinian conflict",1,3,1,3,3,"negative",NA,1981
"889",2308,36,1981-12-07,"Palestinian conflict",1,1,3,1,1,"veto","Russia",1981
"890",2330,36,1981-12-06,"Human rights",2,1,1,1,3,"veto","United States",1981
"891",2493,38,1983-11-07,"Nuclear weapons and nuclear material",1,1,1,1,3,"negative",NA,1983
"892",2493,38,1983-11-07,"Palestinian conflict",1,1,1,1,3,"negative",NA,1983
"893",2496,38,1983-11-04,"Colonialism",1,3,1,2,2,"veto","France",1983
"894",2499,38,1983-12-03,"Colonialism",1,2,1,2,2,"postive",NA,1983
"895",2504,38,1983-12-06,"Human rights",1,3,1,3,3,"negative",NA,1983
"896",2505,38,1983-12-06,"Human rights",1,1,1,3,3,"negative",NA,1983
"897",2508,38,1983-12-06,"Human rights",1,1,1,2,3,"veto","United States",1983
"898",2509,38,1983-12-06,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1983
"899",2509,38,1983-12-06,"Palestinian conflict",1,3,1,3,3,"negative",NA,1983
"900",2510,38,1983-12-06,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1983
"901",2511,38,1983-12-06,"Economic development",1,2,1,2,3,"veto","United States",1983
"902",2513,38,1983-12-06,"Human rights",1,1,1,2,3,"veto","United States",1983
"903",2514,38,1983-12-01,"Colonialism",1,2,1,3,3,"negative",NA,1983
"904",2515,38,1983-12-01,"Colonialism",1,2,1,2,2,"postive",NA,1983
"905",2516,38,1983-12-07,"Human rights",1,2,1,2,3,"negative",NA,1983
"906",2516,38,1983-12-07,"Palestinian conflict",1,2,1,2,3,"negative",NA,1983
"907",2517,38,1983-12-07,"Human rights",1,2,1,2,3,"negative",NA,1983
"908",2517,38,1983-12-07,"Palestinian conflict",1,2,1,2,3,"negative",NA,1983
"909",2518,38,1983-12-07,"Colonialism",1,2,1,2,3,"negative",NA,1983
"910",2518,38,1983-12-07,"Palestinian conflict",1,2,1,2,3,"negative",NA,1983
"911",2519,38,1983-12-07,"Palestinian conflict",1,1,1,1,3,"veto","United States",1983
"912",2520,38,1983-12-07,"Palestinian conflict",1,2,1,2,3,"veto","United States",1983
"913",2522,38,1983-12-06,"Colonialism",1,3,1,3,3,"negative",NA,1983
"914",2522,38,1983-12-06,"Palestinian conflict",1,3,1,3,3,"negative",NA,1983
"915",2523,38,1983-12-06,"Colonialism",1,2,1,2,2,"postive",NA,1983
"916",2523,38,1983-12-06,"Palestinian conflict",1,2,1,2,2,"postive",NA,1983
"917",2524,38,1983-12-06,"Palestinian conflict",1,1,1,1,2,"postive",NA,1983
"918",2525,38,1983-12-06,"Palestinian conflict",1,3,1,3,3,"negative",NA,1983
"919",2526,38,1983-12-06,"Palestinian conflict",1,3,1,3,3,"negative",NA,1983
"920",2527,38,1983-12-02,"Arms control and disarmament",1,2,1,1,1,"postive",NA,1983
"921",2527,38,1983-12-02,"Nuclear weapons and nuclear material",1,2,1,1,1,"postive",NA,1983
"922",2528,38,1983-12-02,"Arms control and disarmament",2,2,1,3,3,"negative",NA,1983
"923",2528,38,1983-12-02,"Nuclear weapons and nuclear material",2,2,1,3,3,"negative",NA,1983
"924",2529,38,1983-12-02,"Arms control and disarmament",2,2,2,2,2,"postive",NA,1983
"925",2529,38,1983-12-02,"Nuclear weapons and nuclear material",2,2,2,2,2,"postive",NA,1983
"926",2530,38,1983-12-02,"Arms control and disarmament",1,2,2,2,1,"postive",NA,1983
"927",2530,38,1983-12-02,"Nuclear weapons and nuclear material",1,2,2,2,1,"postive",NA,1983
"928",2531,38,1983-12-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1983
"929",2531,38,1983-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1983
"930",2532,38,1983-12-02,"Nuclear weapons and nuclear material",1,1,1,2,2,"postive",NA,1983
"931",2533,38,1983-12-02,"Arms control and disarmament",1,2,1,2,3,"negative",NA,1983
"932",2533,38,1983-12-02,"Nuclear weapons and nuclear material",1,2,1,2,3,"negative",NA,1983
"933",2533,38,1983-12-02,"Palestinian conflict",1,2,1,2,3,"negative",NA,1983
"934",2534,38,1983-12-02,"Arms control and disarmament",1,1,1,2,3,"veto","United States",1983
"935",2535,38,1983-12-02,"Arms control and disarmament",1,1,2,1,1,"postive",NA,1983
"936",2535,38,1983-12-02,"Economic development",1,1,2,1,1,"postive",NA,1983
"937",2536,38,1983-12-02,"Nuclear weapons and nuclear material",3,3,1,3,3,"negative",NA,1983
"938",2537,38,1983-12-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1983
"939",2537,38,1983-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1983
"940",2538,38,1983-12-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1983
"941",2538,38,1983-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1983
"942",2539,38,1983-12-02,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1983
"943",2540,38,1983-12-02,"Arms control and disarmament",1,3,1,3,3,"negative",NA,1983
"944",2540,38,1983-12-02,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1983
"945",2541,38,1983-12-02,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1983
"946",2542,38,1983-12-02,"Arms control and disarmament",2,2,1,1,1,"postive",NA,1983
"947",2542,38,1983-12-02,"Nuclear weapons and nuclear material",2,2,1,1,1,"postive",NA,1983
"948",2543,38,1983-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1983
"949",2544,38,1983-12-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1983
"950",2544,38,1983-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1983
"951",2545,38,1983-12-07,"Arms control and disarmament",1,2,1,2,2,"postive",NA,1983
"952",2545,38,1983-12-07,"Nuclear weapons and nuclear material",1,2,1,2,2,"postive",NA,1983
"953",2546,38,1983-12-07,"Arms control and disarmament",1,3,1,3,3,"negative",NA,1983
"954",2546,38,1983-12-07,"Nuclear weapons and nuclear material",1,3,1,3,3,"negative",NA,1983
"955",2547,38,1983-12-07,"Arms control and disarmament",2,2,1,2,3,"negative",NA,1983
"956",2547,38,1983-12-07,"Economic development",2,2,1,2,3,"negative",NA,1983
"957",2547,38,1983-12-07,"Nuclear weapons and nuclear material",2,2,1,2,3,"negative",NA,1983
"958",2548,38,1983-12-07,"Arms control and disarmament",2,3,3,3,3,"negative",NA,1983
"959",2549,38,1983-12-07,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1983
"960",2549,38,1983-12-07,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1983
"961",2550,38,1983-12-07,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1983
"962",2550,38,1983-12-07,"Economic development",2,3,1,3,3,"negative",NA,1983
"963",2550,38,1983-12-07,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1983
"964",2551,38,1983-12-07,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1983
